Date,Index,Price
Wed Mar 26 00:03:17 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 00:10:06 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 00:15:03 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 00:20:03 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 00:25:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 00:30:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 00:35:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 02:05:03 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 02:10:03 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 02:15:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 02:20:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 02:25:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 02:30:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 02:35:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 02:40:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 02:45:05 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 02:50:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 02:55:03 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 03:00:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 08:20:08 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 08:25:03 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 08:30:08 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 08:35:09 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 08:40:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 08:45:08 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 08:50:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 08:55:07 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 09:00:04 CET 2025, Eurostoxx 50, 5475.45
Wed Mar 26 09:05:08 CET 2025, Eurostoxx 50, 5489.95
Wed Mar 26 09:10:07 CET 2025, Eurostoxx 50, 5477.35
Wed Mar 26 09:15:08 CET 2025, Eurostoxx 50, 5471.05
Wed Mar 26 09:20:08 CET 2025, Eurostoxx 50, 5463.65
Wed Mar 26 09:25:03 CET 2025, Eurostoxx 50, 5463.65
Wed Mar 26 09:30:11 CET 2025, Eurostoxx 50, 5465.45
Wed Mar 26 09:35:04 CET 2025, Eurostoxx 50, 5466.45
Wed Mar 26 09:40:08 CET 2025, Eurostoxx 50, 5458.75
Wed Mar 26 09:45:05 CET 2025, Eurostoxx 50, 5452.75
Wed Mar 26 09:50:08 CET 2025, Eurostoxx 50, 5439.05
Wed Mar 26 09:55:04 CET 2025, Eurostoxx 50, 5439.85
Wed Mar 26 10:00:12 CET 2025, Eurostoxx 50, 5442.65
Wed Mar 26 10:05:05 CET 2025, Eurostoxx 50, 5435.65
Wed Mar 26 10:10:08 CET 2025, Eurostoxx 50, 5439.45
Wed Mar 26 10:15:04 CET 2025, Eurostoxx 50, 5475.65
Wed Mar 26 10:20:08 CET 2025, Eurostoxx 50, 5433.75
Wed Mar 26 10:25:10 CET 2025, Eurostoxx 50, 5429.35
Wed Mar 26 10:30:05 CET 2025, Eurostoxx 50, 5432.75
Wed Mar 26 10:35:09 CET 2025, Eurostoxx 50, 5435.25
Wed Mar 26 10:40:05 CET 2025, Eurostoxx 50, 5430.95
